nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  2/18/2026 5:13:02 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 5:13:02 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:13:02 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 5:14:38 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 5:14:38 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:14:38 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:14:38 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:14:38 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:14:38 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 5:14:39 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 5:14:39 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 5:14:39 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:14:39 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:14:39 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:14:39 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:14:40 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 5:14:40 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:14:40 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:14:40 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 5:14:40 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:14:40 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:31:11 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 5:31:11 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:31:11 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:31:11 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:31:12 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:31:12 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 5:33:59 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 5:33:59 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 5:33:59 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:33:59 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:33:59 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:33:59 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:34:25 PM 172.29.25.158 GET /archive
 HTTP  2/18/2026 5:34:25 PM 172.29.25.158 Returned 200 in 1 ms
 HTTP  2/18/2026 5:34:25 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:34:25 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 5:34:25 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:34:25 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:48:17 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 5:48:17 PM 172.29.25.158 Returned 304 in 3 ms
 HTTP  2/18/2026 5:48:17 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:48:17 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:48:17 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:48:17 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:48:56 PM 172.29.25.158 GET /contracts/upload
 HTTP  2/18/2026 5:48:56 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:48:56 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:48:56 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 5:48:56 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:48:56 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:51:50 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 5:51:50 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:51:50 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:51:50 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 5:51:50 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:51:50 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 5:53:49 PM 172.29.25.158 GET /contracts
 HTTP  2/18/2026 5:53:49 PM 172.29.25.158 Returned 200 in 3 ms
 HTTP  2/18/2026 5:53:49 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 5:53:49 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 5:53:49 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 5:53:49 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:04:46 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:04:46 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:04:46 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:04:46 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:04:46 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:04:46 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:53 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:53 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:53 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:53 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:53 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:53 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:11:54 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:54 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:54 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:54 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 6:11:54 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:54 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:55 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:56 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:57 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:11:58 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:58 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:11:58 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:11:58 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 6:11:58 PM 172.29.25.158 GET /assets/index-BX1O195J.js
 HTTP  2/18/2026 6:11:58 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:11:58 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:11:58 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:13:59 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:13:59 PM 172.29.25.158 Returned 200 in 3 ms
 HTTP  2/18/2026 6:13:59 PM 172.29.25.158 GET /assets/index-D2MPmlIE.js
 HTTP  2/18/2026 6:13:59 PM 172.29.25.158 Returned 200 in 8 ms
 HTTP  2/18/2026 6:13:59 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:13:59 PM 172.29.25.158 Returned 304 in 5 ms
 HTTP  2/18/2026 6:24:52 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:24:52 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:24:52 PM 172.29.25.158 GET /assets/index-D2MPmlIE.js
 HTTP  2/18/2026 6:24:52 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:24:52 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:24:52 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 6:25:56 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:25:56 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:25:56 PM 172.29.25.158 GET /assets/index-D2MPmlIE.js
 HTTP  2/18/2026 6:25:56 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:25:56 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:25:56 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:29:04 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:29:04 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:29:04 PM 172.29.25.158 GET /assets/index-D2MPmlIE.js
 HTTP  2/18/2026 6:29:04 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:29:04 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:29:04 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:31:35 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:31:35 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:31:35 PM 172.29.25.158 GET /assets/index-D2MPmlIE.js
 HTTP  2/18/2026 6:31:35 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 6:31:35 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:31:35 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:34:52 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:34:52 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:34:52 PM 172.29.25.158 GET /assets/index-D2MPmlIE.js
 HTTP  2/18/2026 6:34:52 PM 172.29.25.158 Returned 304 in 8 ms
 HTTP  2/18/2026 6:34:52 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:34:52 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:40:32 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:40:32 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:40:32 PM 172.29.25.158 GET /assets/index-D2MPmlIE.js
 HTTP  2/18/2026 6:40:32 PM 172.29.25.158 Returned 304 in 0 ms
 HTTP  2/18/2026 6:40:32 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:40:32 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:41:39 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:41:39 PM 172.29.25.158 Returned 304 in 3 ms
 HTTP  2/18/2026 6:41:39 PM 172.29.25.158 GET /assets/index-D2MPmlIE.js
 HTTP  2/18/2026 6:41:39 PM 172.29.25.158 Returned 304 in 3 ms
 HTTP  2/18/2026 6:41:39 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:41:39 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 6:47:01 PM 172.29.25.158 GET /
 HTTP  2/18/2026 6:47:01 PM 172.29.25.158 Returned 200 in 4 ms
 HTTP  2/18/2026 6:47:01 PM 172.29.25.158 GET /assets/index-Db0uFkua.js
 HTTP  2/18/2026 6:47:01 PM 172.29.25.158 Returned 200 in 9 ms
 HTTP  2/18/2026 6:59:57 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 6:59:57 PM 172.29.25.158 Returned 200 in 3 ms
 HTTP  2/18/2026 6:59:57 PM 172.29.25.158 GET /assets/index-Db0uFkua.js
 HTTP  2/18/2026 6:59:57 PM 172.29.25.158 Returned 304 in 2 ms
 HTTP  2/18/2026 6:59:57 PM 172.29.25.158 GET /vite.svg
 HTTP  2/18/2026 6:59:57 PM 172.29.25.158 Returned 304 in 4 ms
 HTTP  2/18/2026 7:04:32 PM 172.29.25.158 GET /dashboard
 HTTP  2/18/2026 7:04:32 PM 172.29.25.158 Returned 304 in 3 ms
 HTTP  2/18/2026 7:04:32 PM 172.29.25.158 GET /assets/index-Db0uFkua.js
 HTTP  2/18/2026 7:04:32 PM 172.29.25.158 Returned 304 in 1 ms
 HTTP  2/18/2026 7:04:32 PM 172.29.25.158 GET /vite.svg
